metric,mean,ci2.5,ci97.5
model1_base_cox_craw,0.7437761726107527,0.5713390542042227,0.8760856364228797
model1_base_cox_cadj,0.7438508738059718,0.5713390542042227,0.8760856364228797
model1_base_cox_auc_365,0.6883940548116405,0.5189155118624392,0.8431842688658332
model1_base_cox_auc_730,0.6883940548116405,0.5189155118624392,0.8431842688658332
model1_base_cox_auc_1095,0.6883940548116405,0.5189155118624392,0.8431842688658332
model1_base_cox_auc_endpoint,0.6883940548116405,0.5189155118624392,0.8431842688658332
model2_geom_cox_craw,0.6566576168631459,0.44102195661584337,0.8378549214427076
model2_geom_cox_cadj,0.6644859687987764,0.5101329563689156,0.8378549214427076
model2_geom_cox_auc_365,0.6031287638118391,0.4025616199242629,0.814894387160654
model2_geom_cox_auc_730,0.6031287638118391,0.4025616199242629,0.814894387160654
model2_geom_cox_auc_1095,0.6031287638118391,0.4025616199242629,0.814894387160654
model2_geom_cox_auc_endpoint,0.6031287638118391,0.4025616199242629,0.814894387160654
model3_full_cox_craw,0.7312933926183287,0.5228202726873883,0.9021162823103184
model3_full_cox_cadj,0.7330146733460069,0.5420506314338924,0.9021162823103184
model3_full_cox_auc_365,0.6628289620693312,0.47250563063063067,0.8192395617600691
model3_full_cox_auc_730,0.6628289620693312,0.47250563063063067,0.8192395617600691
model3_full_cox_auc_1095,0.6628289620693312,0.47250563063063067,0.8192395617600691
model3_full_cox_auc_endpoint,0.6628289620693312,0.47250563063063067,0.8192395617600691
model4_tree_auto_craw,0.6650425536543413,0.43453205852614046,0.8656142422171129
model4_tree_auto_cadj,0.673730456041164,0.513146672914714,0.8656142422171129
model4_tree_auto_auc_365,0.6630585201772508,0.45796864496302686,0.8467218530599026
model4_tree_auto_auc_730,0.6630585201772508,0.45796864496302686,0.8467218530599026
model4_tree_auto_auc_1095,0.6630585201772508,0.45796864496302686,0.8467218530599026
model4_tree_auto_auc_endpoint,0.6630585201772508,0.45796864496302686,0.8467218530599026
model5_mlp_auto_craw,0.585661340367188,0.3518844827684145,0.7893142825103725
model5_mlp_auto_cadj,0.6116347545250654,0.5037897625864506,0.7893142825103725
model5_mlp_auto_auc_365,0.5714195085994402,0.3766781955401078,0.7457729468599034
model5_mlp_auto_auc_730,0.5714195085994402,0.3766781955401078,0.7457729468599034
model5_mlp_auto_auc_1095,0.5714195085994402,0.3766781955401078,0.7457729468599034
model5_mlp_auto_auc_endpoint,0.5714195085994402,0.3766781955401078,0.7457729468599034
model6_ensemble_auto_craw,0.585661340367188,0.3518844827684145,0.7893142825103725
model6_ensemble_auto_cadj,0.6116347545250654,0.5037897625864506,0.7893142825103725
model6_ensemble_auto_auc_365,0.5714195085994402,0.3766781955401078,0.7457729468599034
model6_ensemble_auto_auc_730,0.5714195085994402,0.3766781955401078,0.7457729468599034
model6_ensemble_auto_auc_1095,0.5714195085994402,0.3766781955401078,0.7457729468599034
model6_ensemble_auto_auc_endpoint,0.5714195085994402,0.3766781955401078,0.7457729468599034
model2_geom_cox_nri_ep,0.4009325738387365,-0.14615054623966942,0.9573434622467772
model2_geom_cox_idi_ep,0.3462217790036343,-0.3377464267583341,1.1435697550470971
model3_full_cox_nri_ep,0.13236887974846384,-0.42558963508401704,0.5866410450983205
model3_full_cox_idi_ep,1.1780034917924558,-0.04976600724502117,3.020878374059759
model4_tree_auto_nri_ep,0.0,0.0,0.0
model4_tree_auto_idi_ep,-0.2765385319777176,-0.5573186002870976,-0.037924845104648185
model5_mlp_auto_nri_ep,-0.021558412890573305,-0.05617977528089879,0.0
model5_mlp_auto_idi_ep,-0.30873954812058796,-0.5642435966075883,-0.07015863881631666
model6_ensemble_auto_nri_ep,-0.021558412890573305,-0.05617977528089879,0.0
model6_ensemble_auto_idi_ep,-0.3087395477942821,-0.564243608860456,-0.07015862694586596
model6_ensemble_balanced_accuracy_thr_oob,0.5231637952635046,0.3851994666352666,0.6481758778930566
model6_ensemble_f1_thr_oob,0.14579239867691698,0.06557377049180328,0.2326035610465116
model6_ensemble_mcc_thr_oob,0.02533605187460178,-0.12021951900213716,0.15234010672222112
model6_ensemble_sensitivity_thr_oob,0.5913410478446898,0.3328125,0.8333333333333334
model6_ensemble_specificity_thr_oob,0.45498654268231953,0.3832875722543353,0.5254825800376648
