metric,mean,ci2.5,ci97.5
threshold_used_from_main_oob_balanced_acc,0.14706838876008987,0.14706838876008987,0.14706838876008987
model4_tree_auc_1095,0.6777777777777777,0.6704868913857678,0.6840074906367041
model5_mlp_auc_1095,0.6037453183520599,0.5528651685393258,0.6425280898876404
model6_ens_auc_1095,0.6037453183520599,0.5528651685393258,0.6425280898876404
model4_tree_auc_endpoint,0.6777777777777777,0.6704868913857678,0.6840074906367041
model5_mlp_auc_endpoint,0.6037453183520599,0.5528651685393258,0.6425280898876404
model6_ensemble_auc_endpoint,0.6037453183520599,0.5528651685393258,0.6425280898876404
model6_ba_thr_oob,0.5177902621722846,0.5077340823970038,0.5264138576779026
model6_f1_thr_oob,0.14555371698228842,0.14292149292149292,0.14938407795550654
model6_sens_thr_oob,0.6666666666666666,0.5433333333333333,0.7333333333333333
model6_spec_thr_oob,0.3689138576779027,0.28286516853932586,0.49634831460674156
model6_mcc_thr_oob,0.020062191211265085,0.009106800590830692,0.030341815407159006
model4_tree_cadj,0.6663952225841476,0.6615228013029315,0.6708061889250814
model5_mlp_cadj,0.6096634093376764,0.55057003257329,0.6519136807817589
model6_ens_cadj,0.6096634093376764,0.55057003257329,0.6519136807817589
model4_tree_craw,0.6663952225841476,0.6615228013029315,0.6708061889250814
model5_mlp_craw,0.6096634093376764,0.55057003257329,0.6519136807817589
model6_ens_craw,0.6096634093376764,0.55057003257329,0.6519136807817589
