feature,importance
seg01_amp,0.060965788
myo_vol_mean,0.057549343
seg09_amp,0.041442085
seg16_amp,0.041073278
seg12_amp,0.04066246
seg14_amp,0.04028397
Eclose,0.04017488
seg_base_apex_ratio,0.039932333
seg10_amp,0.038675122
seg_top3_mean,0.03753279
kappa,0.03658916
seg13_amp,0.034487285
DeltaTheta,0.034438662
seg11_amp,0.03412307
seg06_amp,0.033949655
seg15_amp,0.033595633
seg04_amp,0.03128001
seg17_amp,0.031104986
seg08_amp,0.029426487
seg02_amp,0.029250449
seg_top5_mean,0.028977836
seg07_amp,0.028117983
DeltaTheta_x_top5,0.02712558
seg05_amp,0.027012609
seg03_amp,0.025888057
myo_vol_std,0.025041334
Rdiast,0.024827981
Ldiast,0.023679553
seg_dispersion_cv,0.022791727
