metric,mean,ci2.5,ci97.5
threshold_used_from_main_oob_balanced_acc,0.25887223657045977,0.25887223657045977,0.25887223657045977
model4_tree_auc_1095,0.6937229437229436,0.6809253246753247,0.7056006493506493
model5_mlp_auc_1095,0.7943722943722943,0.7817370129870129,0.8033279220779221
model6_ens_auc_1095,0.7970779220779219,0.7940746753246752,0.7987012987012987
model4_tree_auc_endpoint,0.6937229437229436,0.6809253246753247,0.7056006493506493
model5_mlp_auc_endpoint,0.7943722943722943,0.7817370129870129,0.8033279220779221
model6_ensemble_auc_endpoint,0.7970779220779219,0.7940746753246752,0.7987012987012987
model6_ba_thr_oob,0.6783008658008658,0.6668425324675324,0.692288961038961
model6_f1_thr_oob,0.416421568627451,0.4005882352941177,0.43621323529411765
model6_sens_thr_oob,0.6363636363636364,0.6363636363636364,0.6363636363636364
model6_spec_thr_oob,0.7202380952380952,0.6973214285714285,0.7482142857142857
model6_mcc_thr_oob,0.2797387232553677,0.257935783642216,0.3067825780245939
model4_tree_cadj,0.5679012345679012,0.5555555555555556,0.5907407407407407
model5_mlp_cadj,0.7160493827160495,0.7046296296296296,0.7222222222222222
model6_ens_cadj,0.6358024691358025,0.6296296296296297,0.6472222222222223
model4_tree_craw,0.5679012345679012,0.5555555555555556,0.5907407407407407
model5_mlp_craw,0.7160493827160495,0.7046296296296296,0.7222222222222222
model6_ens_craw,0.6358024691358025,0.6296296296296297,0.6472222222222223
