metric,mean,ci2.5,ci97.5
model1_base_cox_craw,0.45204659681271425,0.14982142857142858,0.7333333333333333
model1_base_cox_cadj,0.6062708171890239,0.5044724770642202,0.8501785714285712
model1_base_cox_auc_365,0.4008992868734421,0.21666666666666667,0.6016283524904213
model1_base_cox_auc_730,0.4008992868734421,0.21666666666666667,0.6016283524904213
model1_base_cox_auc_1095,0.4008992868734421,0.21666666666666667,0.6016283524904213
model1_base_cox_auc_endpoint,0.4008992868734421,0.21666666666666667,0.6016283524904213
model2_geom_cox_craw,0.5600633683326979,0.2219298245614035,0.875
model2_geom_cox_cadj,0.6383555198035807,0.5078696741854636,0.8857936507936507
model2_geom_cox_auc_365,0.41172509817285,0.23081679304192684,0.6072294372294372
model2_geom_cox_auc_730,0.41172509817285,0.23081679304192684,0.6072294372294372
model2_geom_cox_auc_1095,0.41172509817285,0.23081679304192684,0.6072294372294372
model2_geom_cox_auc_endpoint,0.41172509817285,0.23081679304192684,0.6072294372294372
model3_full_cox_craw,0.5868525310158137,0.32139285714285715,0.8400144927536232
model3_full_cox_cadj,0.6244147078447139,0.5,0.8400144927536232
model3_full_cox_auc_365,0.520079138575583,0.33682202665755295,0.7106040669856458
model3_full_cox_auc_730,0.520079138575583,0.33682202665755295,0.7106040669856458
model3_full_cox_auc_1095,0.520079138575583,0.33682202665755295,0.7106040669856458
model3_full_cox_auc_endpoint,0.520079138575583,0.33682202665755295,0.7106040669856458
model4_tree_auto_craw,0.519087598617639,0.27981818181818185,0.7777777777777778
model4_tree_auto_cadj,0.5955130711509186,0.5,0.7950892857142855
model4_tree_auto_auc_365,0.6988446801000049,0.48514551739518286,0.9010091991341991
model4_tree_auto_auc_730,0.6988446801000049,0.48514551739518286,0.9010091991341991
model4_tree_auto_auc_1095,0.6988446801000049,0.48514551739518286,0.9010091991341991
model4_tree_auto_auc_endpoint,0.6988446801000049,0.48514551739518286,0.9010091991341991
model5_mlp_auto_craw,0.7206182895061843,0.4397142857142857,1.0
model5_mlp_auto_cadj,0.7288003349941963,0.52,1.0
model5_mlp_auto_auc_365,0.8100597393095034,0.6611975548763546,0.9322563559322035
model5_mlp_auto_auc_730,0.8100597393095034,0.6611975548763546,0.9322563559322035
model5_mlp_auto_auc_1095,0.8100597393095034,0.6611975548763546,0.9322563559322035
model5_mlp_auto_auc_endpoint,0.8100597393095034,0.6611975548763546,0.9322563559322035
model6_ensemble_auto_craw,0.6261201235387406,0.3682105263157895,0.9286263736263736
model6_ensemble_auto_cadj,0.6500184653785074,0.5,0.9286263736263736
model6_ensemble_auto_auc_365,0.7874257379176478,0.6037620799881059,0.9323444700460829
model6_ensemble_auto_auc_730,0.7874257379176478,0.6037620799881059,0.9323444700460829
model6_ensemble_auto_auc_1095,0.7874257379176478,0.6037620799881059,0.9323444700460829
model6_ensemble_auto_auc_endpoint,0.7874257379176478,0.6037620799881059,0.9323444700460829
model2_geom_cox_nri_ep,-0.24997286232547075,-0.8506709956709957,0.471264367816092
model2_geom_cox_idi_ep,-0.4470093817908905,-1.1273842655075903,0.02030291443186696
model3_full_cox_nri_ep,0.01943955545963417,-0.6426771956856702,0.7143131868131867
model3_full_cox_idi_ep,-86.265038423221,-284.5113911576617,3.116641980197153
model4_tree_auto_nri_ep,0.0,0.0,0.0
model4_tree_auto_idi_ep,0.20513810734599452,0.024878535184041862,0.4035375242225042
model5_mlp_auto_nri_ep,0.0,0.0,0.0
model5_mlp_auto_idi_ep,0.3667869467902552,0.11301809029016892,0.6225025931917954
model6_ensemble_auto_nri_ep,0.0,0.0,0.0
model6_ensemble_auto_idi_ep,0.29404498056954087,0.07819392006597725,0.5025329480189984
model6_ensemble_balanced_accuracy_thr_oob,0.6812917752680658,0.5200584975369458,0.8443420243302351
model6_ensemble_f1_thr_oob,0.40954404494113095,0.20689655172413793,0.6111111111111112
model6_ensemble_mcc_thr_oob,0.27984231964783113,0.029915240674650758,0.5258043808661458
model6_ensemble_sensitivity_thr_oob,0.6475757189791632,0.3333333333333333,0.9249999999999983
model6_ensemble_specificity_thr_oob,0.7150078315569683,0.5967671194114318,0.8247100802854593
